reciept name,full product title,general product title,store ,database
KROGER YEAST , Kroger yeast , yeast , Kroger , KROGER FAST RISE YEAST
WHITE LILLY FLOUR , White lilly flour , flour , Kroger , FLOUR
KRO FLOUR , Kroger flour , Flour , Kroger , FLOUR
KRO SALSA , Kroger salsa , Salsa , Kroger , SALSA
CUPCAKE 6CT DEC , Cupcake decorating kit , Cupcake decorating kit , Publix , CUPCAKE
AQUAFINA WATER , Aquafina water , Water , Publix , WATER
GLAZED DONUT , Glazed donut , Glazed donut , Publix , GLAZED DONUTS
PUBLIX MILK WH 0.5 , Publix whole milk half gallon , Whole milk half gallon , Publix , WHOLE MILK
PF XTRA CHEDDAR GF , Pepperidge Farms xtra cheddar goldfish , Goldfish , Publix , 
PF CHEESE GOLDFISH , Pepperidge Farms cheese goldfish , Goldfish , Publix,
PROG CHICK BROTH , Progresso Chicken Broth , Chicken broth , Publix , CHICKEN BROTH
MULTIGRAIN CHEERIO , Multigrain Cheerios , Cheerios , Safeway , CHEERIOS CEREAL
PROGRESSO R&H STK , Progresso Rich & Heart Steak & Homestyle Noodles , Canned soup , Safeway , SOUP
LAVDR PEEPS , Peeps Lavender marshmallow chicks , Marshmallows , Walmart , MARSHMALLOWS
PEZ DISPENSE , Pez Dispenser , Pez candy , Walmart , CANDY & DISPENSER
JELLY BEANS , Jelly beans , Jelly beans , Walmart , JELLY BEANS
ROLD GOLD , Rold Gold Pretzels , Pretzels , Walmart , PRETZEL
GV CHIPS , Great Value Chips , Chips , Walmart , CHIPS
ROASTED ALMD , Roasted Almonds , Almonds , Walmart , ROASTED ALMONDS
MT DEW CD RE , Mountain Dew code red , Soda , Walmart , Mountain Dew Code Red Soda 12 Fluid Ounce Aluminum Can
ACTII BUTTER , ACT II Butter popcorn , Popcorn , Walmart , POPCORN
CHEESE NIPS , Cheese Nips , Cheese Nips , Walmart , CHEESE NIPS SNACKS CRACKER
AW CREAM SDA , A&W Cream Soda , Cream Soda , Walmart , CREAM SODA
CNM ALMOND , Cinnamon almonds , Cinnamon almonds , Walmart , CINNAMON ALMONDS
RNCH CRACKER , Ranch crackers , Ranch crackers , Walmart , CRACKERS
ROOT BEER , Root beer , Root beer , Walmart , ROOT BEER
DR PEPPER , Dr Pepper , Dr Pepper , Walmart , DR PEPPER
DORITO 12 CT , Doritos , Doritos , Walmart , CHIPS
REESES PEAN , Reeses Peanut Butter Cups , Peanut Butter Cups , Walmart , 
GATORADE , Gatorade , Gatorade , Walmart , THIRST QUENCHER POWDER
GARDETTOS , Gardetts Original Recipe Snack Mix , Snack mix , Walmart , SNACK MIX
ASPARAGUS , Asparagus , Asparagus , Walmart , ASPARAGUS
PASTA , Pasta , Pasta , Walmart , PASTA
HONEY GLD POTATOES , Potato Inspirations Honey Gold Potatoes , Honey Gold Potatoes , Publix , POTATOES
DE CECCO BOW FARFA , De Cecco Farfalle , Farfalle , Publix , FARFALLE
FRNDSHP SOUR CREAM , Friendship Sour Cream , Sour Cream , Publix , SOUR CREAM
ATHENOS TR/CR FETA , Athenos Traditional Crumbled Feta , Publix , FETA CRUMBLED,
HUNTS KETCHUP , Hunts Tomato Ketchup , Tomato Ketchup , Publix , HUNTS Tomato Ketchup
APPLES CRIPPS PINK , Cripps Pink Apples , Apples , Publix , RAW CRIPPS PINK APPLE JUICE
SABRA CLAS HUM 6PK , Sabra Classic Hummus 6 Pack , Hummus , Publix , SABRA CLASSIC HUMMUS
EGG BREAD-CHALLAH , Egg Bread Challah , Challah , Publix , PREMIUM EGG CHALLAH ROLLS
KELL APPLE JACKS , Kelloggs Apple Jacks , Apple Jacks , Publix , KELLOGGS APPLE JACKS CEREAL WITH APPLE & CINNANON
POST HONEY BUNCH , Post Honey Bunches of Oats , Honey Bunches of Oats , Publix , HONEY BUNCHES OF OATS CEREAL
OLD FASHIONED OATS , Old Fashioned Oats , Oats , Aldi , OLD FASHIONED OATS
RASPBERRIES , Raspberries , Raspberries , Aldi , RASPBERRIES
BLUEBERRIES , Blueberries , Blueberries , Aldi , BLUEBERRIES
STRAWBERRIES , Strawberries , Strawberries , Aldi , WHOLE STRAWBERRIES
AVOCADOS , Avocados , Avocados , Aldi , Avocados raw all commercial varieties
CHIA SEEDS , Chia seeds , Chia seeds , Aldi , CHIA SEEDS
DATES , Dates , Dates , Aldi , DATES
BABY SPINACH 120g , Baby spinach , Baby spinach , Aldi , BABY SPINACH
TORTILLA WRAPS WHOLEMEAL , Wholemeal tortilla wraps , Wholemeal tortilla wraps , Aldi , WHOLE GRAIN TORTILLA WRAPS
BEETROOT SLICED 450g , Sliced Beetroot , Beetroot , Aldi , SLICED BEETROOT PICKLED IN SWEET MALT VINEGAR
FZN MIXED BERRIES 500g , Frozen mixed berries , Frozen mixed berries , Aldi , MIXED BERRIES
HAM 4x100g , Ham , Ham , Aldi , UNCURED HAM
FROZ STEAM VEG 450g , Frozen steamed vegetables , Frozen steamed vegetables , Aldi , FRESH FROZEN VEGETABLES
RICE CRACKERS 200g , Rice crackers , Rice crackers , Aldi , RICE CRACKERS
PINK LADY APPLES , Pink lady apples , Pink lady apples , Aldi , PINK LADY APPLES
DIP SALSA , Salsa dip , Salsa , Aldi , SALSA
MAYONNAISE SQUEEZE , Mayonnaise , Mayonnaise , Aldi , SQUEEZE MAYONNAISE
WFM CLEMENTINE BAG , Clementines , Clementines , Whole Foods , Clementines raw
CROFT STRAWBRY SPR , Crofts strawberry spread , Strawberry jam , Whole Foods , STRAWBERRY SPREAD
BEANS GREEN , Green beans , Green beans , Whole Foods , WHOLE GREEN BEANS
VIRGL CREAM SODA , Virgils cream soda , Cream soda , Whole Foods , VIRGILS CREAM SODA
BULK ALMOND BUTTER , Almond butter , Almond butter , Whole Foods , ALMOND BUTTER
365 LT CHNK TUNA , 365 Light Chunk Tuna , Tuna , Whole Foods , CHUNK LIGHT TUNA
BLACKBERRIES , Blackberries , Blackberries , Whole Foods , BLACKBERRIES
CHKN BRST CUTLET , Chicken breast cutlet , Chicken breast , Whole Foods , LIGHTLY BREADED CHICKEN BREAST CUTLETS
CHKN GRND THIGH , Ground chicken thigh , Ground chicken thigh , Whole Foods , CHICKEN THIGH MEAT
OREO COOKIE , Oreos , Oreos , Target , OREO CHOCOLATE SANDWICH COOKIES
CHOBANI , Chobani yogurt , Yogurt , Target , CHOBANI NON-FAT PLAIN GREEK YOGURT UPC: 818290010469
BREYERS , Breyers Ice cream , Ice cream , Target , Ice creams BREYERS All Natural Light Vanilla
AQUAF 2PK , Aquafina bottled water , Bottled water , Target , Beverages water bottled non-carbonated PEPSI AQUAFINA
MP EGGS , Marketplace eggs , Eggs , Target , LARGE WHITE EGGS
PUBLIX MED SALSA , Publix Medium Salsa , Medium Salsa , Publix , MEDIUM SALSA	
SM RAISIN SEEDLESS , Sun Maid Seedless Raisins , Seedless Raisins , Publix , SEEDLESS CALIFORNIA RAISINS
O R POPCORN , Orville Redenbacher Popcorn , Popcorn , Publix , ORVILLE REDENBACHERS Butter Popcorn
JIF PEANUT BUTTER , Jif Peanut Butter , Peanut Butter , Publix , PEANUT BUTTER
PUB DRY RST PNUT , Publix Dry Roasted Peanuts , Dry Roasted Peanuts , Publix , DRY ROASTED PEANUTS
L/L DBL CHOC CHIP , Lenny & Larrys Double Chocolate Chip , Double Chocolate Chip , Publix , 
L/L PB CHOC CHIP , Lenny & Larrys Peanut Butter Chocolate Chip , Peanut Butter Chocolate Chip , Publix , ORIGINAL DOUBLE CHOCOLATE CHIP COOKIE
B/D WHL NAT ALMDS , Blue Diamond Whole Natural Almonds , Whole Natural Almonds , Publix , BLUE DIAMOND ALMONDS WHOLE NATURAL
BANANAS , Bananas , Bananas , Publix , BANANAS
LIMES PERSIAN , Persian Limes , Limes , Publix , PERSIAN LIMES
NAPPA CABBAGE , Nappa Cabbage , Nappa Cabbage , HMart , NAPA CABBAGE
PAPAYA , Papaya , Papaya , HMart , Papayas raw
MATCHA KIT KAT , Matcha Kit Kat , Matcha Kit Kat , HMart , Candies KIT KAT Wafer Bar
PICKLD SOUR RADISH , Pickled Sour Radish , Pickled Sour Radish , HMart , Radishes hawaiian style pickled
CA NAVEL ORANGE , California Navel Orange , Navel Orange , HMart , CALIFORNIA NAVEL ORANGES
QUAK QUICK OATS , Quaker Quick Oats , Quick Oats , Publix , Cereals QUAKER Quick Oats Dry
PUBLIX HVY WHP CRM , Publix Heavy Whipping Cream , Heavy Whipping Cream , Publix , HEAVY WHIPPING CREAM
BNLS CHICK BREAST , Boneless Chicken Breast , Boneless Chicken Breast , Publix , BONELESS CHICKEN BREAST
LAPASTA SQSH RAVLI , La Pasta Squash Ravioli , Squash Ravioli , Publix , BUTTERNUT SQUASH RAVIOLI
DIGORNO PIZZA , Digorno Pizza , Pizza , Kroger , DIGIORNO Pizza cheese topping rising crust frozen baked
WESSON OIL , Wesson Oil , Oil , Kroger , WESSON Vegetable Oil
KING ARTHUR FLOUR , King Arthur Flour , Flour , Kroger , UNBLEACHED ALL-PURPOSE FLOUR
FLA NATURAL JUICE , Florida Natural Juice , Juice , Kroger , FLORIDAS NATURAL 100% PURE FLORIDA ORANGE JUICE
KRO VGTBL CKSPRY , Kroger Vegetable Cooking Spray , Vegetable Cooking Spray , Kroger , VEGETABLE OIL COOKING SPRAY
BARLLA MINI FARFLE , Barilla Mini Farfalle , Mini Farfalle , Kroger , MINI FARFALLE ENRICHED MACARONI PRODUCT
LANDOLAKES HVY CRM , Land OLakes Heavy Cream , Heavy Cream , Kroger , LAND O LAKES RICH & CREAMY HEAVY WHIPPING CREAM
POTATOES RUSSET , Russet Potatoes , Potatoes , Kroger , RUSSET POTATOES
KRO MUSHROOMS , Kroger Mushrooms , Mushrooms , Kroger , MUSHROOMS
APPLES HONEYCRISP , Honeycrisp Apples , Apples , Kroger , HONEYCRISP APPLES
PLBRY CRSCNT ROLLS , Pillsbury Crescent Rolls , Crescent Rolls , Kroger , Pillsbury Original Crescent Rounds 8 Count
NTHN BF FRNK , Nathan Beef Frank , Beef Frank , Kroger , BEEF FRANKS
FAGE TOTAL YOGURT , Fage Total Yogurt , Yogurt , Kroger , TOTAL GREEK STRAINED YOGURT
BOK CHOY ORG , Bok Choy Organic , Bok Choy , Kroger , BOK CHOY
CUCUMBERS , Cucumbers , Cucumbers , Kroger , FRESH CUCUMBERS
KRO VAN EXTRCT , Kroger Vanilla Extract , Vanilla Extract , Kroger , PURE VANILLA EXTRACT
BRHD PRV CHS , Boars Head Provolone Cheese , Cheese , Kroger , BOARS HEAD PROVOLONE CHEESE
POST HB OAT CRL , Post Honey Bunches of Oats Cereal , Cereal , Kroger , HONEY BUNCHES OF OATS
JIF PEANUT BUTTER , Jif Peanut Butter , Peanut Butter , Kroger , PEANUT BUTTER
ODWL JUICE , Odwalla Juice , Juice , Kroger , ODWALLA 100% JUICE
PREGO PASTA SAUCE , Prego Pasta Sauce , Pasta Sauce , Kroger , PASTA SAUCE
TFYN PITA BR , Toufayan Pita Bread , Pita Bread , Kroger , CLASSIC WHITE PITA BREAD
LA BNDTA TORTILLA , La Banderita Tortilla , Tortilla , Kroger , LA BANDERITA SOFT TACO FLOUR TORTILLAS
BRHD HNY HAM , Boars Head Honey Ham ,  Honey Ham , Kroger , HONEY HAM
SALMON ATL FLT , Atlantic Salmon Fillet , Salmon , Kroger , SALMON
ZUCCHINI , Zucchini , Zucchini , Kroger , ZUCCHINI
TOMATOES RED OTV , Red Tomatoes On The Vine , Tomatoes , Kroger , TOMATOES ON THE VINE
KROGER MILK , Kroger Milk , Milk , Kroger , MILK
RONZ LINGUINE , Ronzoni Linguine , Linguine , Kroger , LINGUINE
BROCCOLI CROWNS , Broccoli Crowns , Broccoli Crowns , Kroger , BROCCOLI
APL GALA , Gala Apple , Apple , Kroger , GALA APPLES
DKB BAGELS CIN/RSN	 , Daves Killer Bagels Cinnamon/Raisin , Bagels , Publix , RAISIN CINNAMON BAGELS
CHOBANI 0% 4 PACK , Chobani 0% fat , Yogurt , Publix , GREEK YOGURT
CHOBANI 2% 4 PACK , Chobani 2% fat , Yogurt , Publix , GREEK YOGURT
ORG APPLES HONEYCR , Organic honeycrisp apples , Apples , Publix , HONEYCRISP APPLES
NASOYA CUBED TFU , Nasoya cubed tofu , tofu , Publix , TOFU
MAYFIELD SELECTS , Mayfield Selects , Ice cream , Publix , ICE CREAM
GOOD THN SWT POTAT , Good thin sweet potato , sweet potato , Publix , GOOD THINS CRACKERS SWEET POTATO 1X6.5 OZ
KBLR FUDGE STRIPES , Keebler Fudge Stripes , Cookies , Publix , FUDGE STRIPES COOKIES
PUBLIX EGGS JUMBO , Publix jumbo eggs , Eggs , Publix , EGGS
OG GW BABY SPINACH , Organic baby spinach , Spinach , Publix , BABY SPINACH
CHO PLAIN 5% 32OZ , Chobani plain 5% 32 oz yogurt , Yogurt , Publix , GREEK YOGURT
PRINGLES , Pringles , Pringles , Target , PRINGLES
SLIM JIM , Slim jim , Slim jim , Target , SLIM JIM Original Smoked Snack Sticks
PLSBRY COOKI , Pillsbury Cookie , Cookie , Target , Pillsbury Chocolate Chip Cookie Dough
YOCRUNCH , Yocrunch , Yogurt , Target , YOCRUNCH LOWFAT YOGURT VANILLA
V8 , V8 , V8 , Target , V8 BEVERAGE VEGETABLE
BANANA , Banana , Banana , Target , BANANA
MP 2 PC MILK , Market pantry 2% milk , Milk , Target , MILK
CHEETOS , Cheetos , Cheetos , Target , Cheetos Puffs Cheese Flavored Snacks 2.375 Ounce Plastic Bag
LAYS , Lays , Lays , Target , Lays Baked Potato Crisps 10.25 ounce Plastic Bag
MARUCHN SOUP , Maruchan soup , Soup , Target , RAMEN NOODLES
CRKLN OATBRN , Cracklin Oat Bran , Cereal , Target , Kelloggs Cracklin Oat Bran Cereal 17oz
LEAN CUISINE , Lean cuisine , Lean cuisine , Target , LEAN CUISINE CLASSIC MACARONI & BEEF
COKE CLASSIC , Coke Classic , Coke , Target , Coca-Cola Bottle 20 fl oz
FRITOS , Fritos , Fritos , Target , Fritos Original Corn Chips 4.0 Ounce Plastic Bag
BROCCO CAUL , Broccoli Cauliflower , Broccoli , Target , BROCCOLI
KRO MUSHROOMS , Kroger Mushrooms , Mushrooms , Kroger , MUSHROOMS
STO BABY SPINACH , Simple Truth Organic Baby Spinach , Organic Baby Spinach , Kroger , BABY SPINACH
CLEMNTNES , Clementines , Clementines , Kroger , CLEMENTINE
CUCUMBERS , Cucumbers , Cucumbers , Kroger , FRESH CUCUMBERS
BROCCOLI , Broccoli , Broccoli , Kroger , BROCCOLI
PREGO PASTA SAUCE , Prego Pasta Sauce , Pasta Sauce , Kroger , PASTA SAUCE
TURKEY HLL ICE CRM , Turkey Hill Ice Cream , Ice Cream , Kroger , ICE CREAM
AIDL SAUSAGE , Aidell Sausage , Sausage , Kroger ,
KROGER EGGS , Kroger Eggs , Eggs , Kroger , EGGS 
PLANTAINS , Plantains , Plantains , Kroger ,
APPLES HONEYCRISP , Honeycrisp Apples , Apples , Kroger , HONEYCRISP APPLES 
BH MAPLE HONEY HAM , Boars Head Maple Honey Ham , Honey Ham , Publix , MAPLE HONEY HAM
GW EVRTHNG BGLS 4C , GreenWise Everything Bagels 4C , Everything Bagels , Publix , EVERYTHING BAGELS BAGELS
TROPICANA OJ , Tropicana OJ , OJ , Kroger , PURE 100% FLORIDA ORANGE JUICE
PFRM GOLDFISH , Pepperidge Farm Goldfish , Goldfish , Kroger , 
NTLA HZLNT SPREAD , Nutella Hazelnut Spread , Nutella , Kroger , HAZELNUT SPREAD
CABBAGE NAPPA , Nappa Cabbage , Nappa Cabbage , Kroger , NAPPA CABBAGE
BARLLA LINGUINE , Barilla Linguine , Linguine , Kroger , LINGUINE ENRICHED MACARONI PRODUCT
BELG MOZ BLS , BelGioioso Mozzarella Balls , Mozzarella Balls , Kroger  , FRESH MOZZARELLA 
PEPPERS BELL RED , Red Bell Peppers , Red Bell Peppers , Kroger ,
PEACHES WHITE , White Peaches , White Peaches , Kroger,
POST HNY BNCH OAT , Post Honey Bunches of Oats , Honey Bunches of Oats , Kroger , HONEY BUNCHES OF OATS CEREAL
BLUEBERRIES , Blueberries , Blueberries , Kroger,
PHLLY CREAM CHEESE , Philadelphia Cream Cheese , Cream Cheese , Kroger , PHILADELPHIA CREAM CHEESE-SOFT PLAIN
PRDU CH THGH , Purdue Chicken Thigh , Chicken Thigh , Kroger , PERDUE CHICKEN THIGHS
STNFR GARLIC NAAN , Stonefire Garlic Naan , Garlic Naan , Kroger , GARLIC NAAN
KRO PNAPL CHNK JCE , Kroger Pineapple Chunk Juice , Pineapple Chunk Juice , Kroger , PINEAPPLE CHUNKS
MSSN TORTLLA , Mission Tortilla , Tortilla , Kroger , TORTILLA 
PILLSBURY CRESCENT , Pillsbury Crescent , Crescent , Kroger , CRESCENT
O M FRANKS , Oscar Mayer Franks , Franks , Kroger , FRANKS
LEMONS , Lemons , Lemons , Kroger,
QUAKER OATMEAL , Quaker Oatmeal , Oatmeal , Kroger,
MANDARINS BAG , Mandarins Bag , Mandarins , Kroger,
BKCN COOKIES , ,,,
PRSL COOKIE , Private Selection Cookie , Cookie , Kroger,
PRSL 12 GRAIN BRD,,,,
QUAKER OATMEAL , Quaker Oatmeal , Oatmeal , Kroger,
KRO BUFFALO , Kroger Buffalo , Buffalo , Kroger,
KRO TUNA PCH , Kroger Tuna , Tuna , Kroger,
KRO LMN PEPPR , Kroger lemon pepper , Lemon pepper , Kroger,
KRO TUNA , Kroger Tuna , Tuna , Kroger,
KRO VITAMIN D MILK , Kroger Vitamin D Milk , Milk , Kroger , VITAMIN D MILK
KRO POTATO , Kroger Potato , Potato , Kroger,
ONIONS SWT YELLOW , Onions sweet yellow , Onions , Kroger,
APL GALA EAST XF , Apples Gala East , Apples , Kroger , GALA APPLES 
CABBAGE , Cabbage , Cabbage , Kroger ,
KRO CAULIFLOWER FLPC , Kroger Cauliflower , Cauliflower , Kroger,
KRO MUSHROOMS , Kroger mushrooms , Mushrooms , Kroger,
KRO HONEY BEAR , Kroger honey bear , Honey , Kroger,
KRO TOMATOES , Kroger tomatoes , Tomatoes , Kroger,
KRO SALSA , Kroger salsa , Salsa , Kroger,
PRINGLES , Pringles , Chips , Target,
CAMPBELLS CH , Campbells Cream of Chicken , Soup , Target,
CAMPBELLS , Campbells , Soup , Target ,
MARUCHN SOUP , Maruchan soup , Ramen , Target,
MP 2 PC MILK , Market pantry 2 percent milk , Milk , Target ,
YOCRUNCH , Yocrunch , Yogurt , Target , YOCRUNCH 
CAPRI SUN , Capri Sun , Juice , Target,
PEARLS , Olives , Olives , Target , PEARLS 
MP PASTA SCE , Market pantry pasta sauce , Pasta sauce , Target , PASTA SAUCE
LEAN CUISINE , Lean cuisine , Lean cuisine  , Target , LEAN CUISINE
DEVOUR , Devour , Devour , Target,
NEWYOR BREAD , Newyork bread , Garlic bread , Target,
FAIRLIFE , Fairlife , Ice cream , Target,
OS CRAN POM , Ocean Spray Cranberry Pomegranate Juice , Juice , Walmart,
CAMPARI TOM , Campari tomatoes , Tomatoes , Walmart,
KFT SINGLES , Kraft Singles , Cheese , Walmart,
HARD SALAMI , Hard salami , Salami , Walmart,
APL GOLD DEL , Golden delicious apples , Apple , Kroger , GOLDEN DELICIOUS APPLES 
BREAD , Bread , Bread , Walmart , BREAD
CIDER , Cider , Cider , Walmart , CIDER
ORGANIC RND YELLOW TORT CHIPS , Organic round yellow tortilla chips , Tortilla chips , Trader Joes , ORGANIC TORTILLA CHIPS 
ORGANIC SUGAR , Organic sugar , Sugar , Trader Joes,
BEANS ORGANIC GARBANZO , Organic garbanzo beans , Garbanzo beans , Trader Joes , ORGANIC GARBANZO BEANS 
CHOC CHUNKS SEMI SWEET 10 OZ , Semi sweet chocolate chunks , Chocolate , Trader Joes,
SPAGHETTI TOMATO SAUCE ORGANIC , Organic spaghetti tomato sauce , Tomato sauce , Trader Joes,
A-POTATO EACH RUSSET , Russet potato , Potato , Trader Joes,
R-CARROTS WHOLE ORG , Organic carrots , Carrot , Trader Joes,
A-AVOCADOS EACH HASS 40 CT , Hass avocados , Avocados , Trader Joes,
A-CUCUMBERS PERSIAN 14 OZ , Persian cucumbers , Cucumbers , Trader Joes,
TRADITIONAL REFRIED BEANS , Refried beans , Beans , Trader Joes,
GV 5LB BRST , Great Value Chicken Breast , Chicken breast , Walmart,
GV 2 RF MLK , Great Value 2% reduced fat milk , Milk , Walmart,
PANCAKE MIX , Pancake mix , Pancake mix , Walmart , PANCAKE MIX
HNY MPL BCN , Honey maple bacon , Bacon , Walmart , 
SAUS LINKS , Sausage links , Sausage , Walmart , SAUSAGE LINKS 
GARLIC SALT , Garlic salt , Garlic salt , Walmart , GARLIC SALT 
JALAPENO , Jalapeno , Jalapeno , Walmart,
GV CHED SHED , Great Value shredded cheddar , Cheese , Walmart,
GV BRWN RICE , Great Value brown rice , Brown rice , Walmart,
BELL PEPPER , Bell pepper , Bell pepper , Walmart,
RED PEPPER , Red pepper , Red pepper , Walmart,
ORANGE PEPPER , Orange pepper , Orange pepper , Walmart,
EGGS , Eggs , Eggs , Walmart,
CILANTRO , Cilantro , Ciltrano , Walmart,
1PCT MILK , 1% milk , Milk , Kroger,
KROGER MILK , Kroger milk , Milk , Kroger , MILK 
KROGER JUICE , Kroger juice , Orange Juice , Kroger,
GM CINN TST CRUNCH , General Mills Cinnamon Toast Crunch , Cereal , Kroger , GENERAL MILLS CEREAL CINNAMON TOAST CRUNCH
KRO JAM , Kroger Jam , Jam , Kroger,
BANANAS , Bananas , Bananas , Kroger,
STO POWER GREENS , Simple Truth Organic power greens , Spinach , Kroger , POWER GREENS
STO RED DEL POUCH , Simple Truth Organic red delicious apples , Apples , Kroger,
CARROTS , Carrots , Carrots , Kroger,CARROTS
KRO COF MOOSE TRK , Kroger coffee moose tracks greek yogurt , Yogurt , Kroger,GREEK YOGURT
LINDT CHOCOLATE , Lindt Chocolate , Chocolate , Kroger,"LINDT, MILK CHOCOLATE"
GREEN PEPPERS , Green peppers , Green bell peppers , Kroger,GREEN PEPPER
LIMES , Limes , Limes , Kroger,PERSIAN LIMES
AVOCADO HASS , Avocado Hass , Avocados , Kroger,AVOCADO
ONION YLW COLOSS , Yellow onion , Onions , Kroger,YELLOW ONION
POTATO RUSSET , Russet Potato , Potatoes , Kroger,RUSSET POTATO
LEMONS , Lemons , Lemons , Kroger,LEMONS
KRO BREAD , Kroger Bread , Bread , Kroger,BREAD
GTS KOMBCHA , GTs Kombucha , Kombucha , Kroger,"GT'S, ORGANIC RAW KOMBUCHA, CITRUS"
CHETO HOT PUFFS , Cheetos Hot Puffs , Chips , Publix,Cheetos Hot 9.5z
CHETO PUFFS CHEESE , Cheetos cheese puffs , Chips , Publix, Cheetos Puffs Cheese Flavored Snacks 2.375 Ounce Plastic Bag
LAYS PARTY SIZE , Lays Party Size , Chips , Publix, Lays Baked Potato Crisps 10.25 ounce Plastic Bag
LACROIX BERRY WTR , Lacroix Berry Water , Soda , Publix,"LACROIX, CURATE NATURALLY ESSENCED SPARKLING WATER, PINK GRAPEFRUIT"
LACROIX ORANGE , Lacroix Orange , Soda ,Publix,"LACROIX, CURATE NATURALLY ESSENCED SPARKLING WATER, PINK GRAPEFRUIT"
COCA-COLA CLASSIC , Coca-Cola Classic , Soda , Publix, Coca-Cola Bottle 20 fl oz
COCA-COLA ZERO , Coca-Cola Zero , Soda , Publix,"Coca-Cola Zero Sugar Bottle, 8.5 fl oz"
SPRITE , Sprite , Soda , Publix,"Sprite Bottle, 20 fl oz"
CHERRY COKE , Cherry Coke , Soda , Publix,"Coca-Cola Cherry Bottles, 16.9 fl oz, 6 Pack"
C SHLBY CHLI , Carroll Shelbys Chili Kit , Spices , Kroger,"CARROLL SHELBY'S, ORIGINAL TEXAS BRAND, CHILI SEASONING KIT"
RED BARRON PIZZA , Red Barron pizza , Pizza , Kroger,"RED BARRON, PIZZA, SAUSAGE, SUPREME"
CHICKN BROTH , Chicken broth , Chicken broth , Walmart,CHICKEN BROTH
PORT WINE , Port wine , Wine , Walmart,
GV BBQ , Great Value barbeque sauce , Barbeque sauce , Walmart,BARBEQUE SAUCE
KETCHUP , Ketchup , Ketchup , Walmart,KETCHUP
GV ORANG JCE , Great Value orange juice , Orange Juice , Walmart,ORANGE JUICE
3 ORANGES , 3 lb oranges , Oranges , Walmart,ORANGES
SHALLOTS , Shallots , Shallots , Walmart,SHALLOTS
GREEN ONION , Green onion , Green onion , Walmart,
GINGER ROOT , Ginger root , Ginger , Walmart,GINGER
CARROTS SNACK SIZE , Snack size carrots , Carrots , Publix,CARROTS
TOTINOS PIZZA , Totinos pizza rolls , Pizza rolls , Publix,
APPLES MCINTOSH LG , Large McIntosh apples , Apples , Publix,
PEARS BARTLETT , Bartlett pears , Pears , Publix,
CHWY PPRMNT MENTOS , Chewy peppermint mentos , Mints , Publix,
OJ TROP PURE , Tropicana pure orange juice , Orange juice , Publix,
PUBLIX MILK , Publix milk , Milk , Publix,
KIT KAT , Kit kat , Candy , Publix,
ALMOND JOY SNACK , Almond joy snack , Candy , Publix,
SUNKIST ORANGE , Sunkist orange , Oranges , Publix,
TGIF POPCORN CKN , TGIF popcorn chicken , Popcorn chicken , Publix,
DELIZZA ECLAIRS , Delizza eclairs , Eclairs , Publix,
UNBLEACHED BRD FLR , Unbleached bread flour , Bread flour , Publix,
CANTALOUPES , Cantaloupes , Cantaloupes , Publix,
MOTTS APP WHT GRP , Motts apple white grape juice , Juice , Publix,
