OJ TROP PURE,tropicana pure orange juice,orange juice,publix
PUBLIX MILK,publix milk,milk,publix
KIT KAT,kit kat,candy,publix
ALMOND JOY SNACK,almond joy snack,candy,publix
SUNKIST ORANGE,sunkist orange,oranges,publix
TGIF POPCORN CKN,tgif popcorn chicken,popcorn chicken,publix
DELIZZA ECLAIRS,delizza eclairs,eclairs,publix
UNBLEACHED BRD FLR,unbleached bread flour,bread flour,publix
CANTALOUPES,cantaloupes,cantaloupes,publix
MOTTS APP WHT GRP,motts apple white grape juice,juice,publix
PBLX ITAL BRD CRMB,publix italian bread crumbs,bread crumbs,publix
KENS BALS/BASIL,kens balsamic/basil dressing,salad dressing,publix
KENS RANCH,kens ranch,ranch,publix
PETER PAN PNUT/BTR,peter pan peanut butter,peanut butter,publix
MAXWELL HOUSE COFF,maxwell house coffee,coffee,publix
PUBLIX MARINARA SA,publix marinara sauce,marinara sauce,publix
EUREKA WHEAT BRD,eureka wheat bread,bread,publix
KRO 1% LF MILK,kroger 1% lowfat milk,milk,kroger
KROGER KTL CHPS,kroger kettle chips,chips,kroger
KRO BREAD,kroger bread,bread,kroger
MCCORMCK CHLI MX,mccormick chili mix,spices,kroger
ROMAINE HEARTS,romaine hearts,romaine,kroger
KRO GRND TRKY,kroger ground turkey,ground turkey,kroger
CKN BRST BL SL,chicken breast boneless skinless,chicken breast,kroger
KROGER MUSTARD,kroger mustard,mustard,kroger
KRO PASTA SAUCE,kroger pasta sauce,pasta sauce,kroger
KROGER BEANS,kroger beans,beans,kroger
APL CRIPPS PINK,cripps pink apple,apples,kroger
KROGER FRZN VEG,kroger frozen vegetables,frozen vegetables,kroger
KRO GRK VAN YOGURT,kroger greek vanilla yogurt,yogurt,kroger
PRSL PIZZA,private selections pizza,pizza,kroger
STO BABY ARUGULA,simple truth organic baby arugula,baby arugula,kroger
NBSC BLVTA,nabisco belvita,breakfast biscuit,kroger
MCCAFE COFFEE,mccafe coffee,coffee,kroger
KRO HONEY BEAR,kroger honey bear,honey,kroger
KROGER OATS,kroger oats,oats,kroger
HALOTOP ICE CREAM,halo top ice cream,ice cream,kroger
KRO PEANUT BUTTER,kroger peanut butter,peanut butter,kroger
MRES DRSNG,maries dressing,salad dressing,kroger
CASCADIAN GRANOLA,cascadian farms granola,granola,kroger
ST COOKIES,simple truth cookies,cookies,kroger
CA PZ KTCH PIZZA,california pizza kitchen pizza,pizza,kroger
STO BLUE TORTILLA,simple truth organic blue tortilla chips,tortilla chips,kroger
KROGER EGGS,kroger eggs,eggs,kroger
STO WHITE TORTILLA,simple truth organic white tortilla chips,tortilla chips,kroger
KRO DRIED CRANBERR,kroger dried cranberries,cranberries,kroger
APPLES HONEYCRISP,honeycrisp apples,apples,kroger
VGND SWT POT SPR PC,veggie noodle sweet potato spirals,veggie noodle sweet potato spirals,kroger
TERRAPIN IPA,terrapin ipa,terrapin ipa,publix
GARDEN LIFE ROMAIN,garden life romain lettuce,lettuce,publix
PEP FARM GOLDFISH,pepridge farm goldfish,goldfish,shaws
QUAKER CEREAL LIFE,quaker life cereal,cereal,shaws
OCEAN SPRAY JUICE,ocean spray juice,juice,shaws
MARTINELLI CIDAR S,martinelli cidar,cidar,shaws
COCA COLA CLASSIC,coca cola classic,coke,shaws
ARIZONA SWT TEA,arizona sweat tea,sweat tea,shaws
PLN CRN RCE SNK,plain corn rice snack,corn rice snack,shaws
TWINIGS CLSC PRNCE,twinings classic prince of whales,tea,shaws
BC COOL IN BLUE 6,bc cool in blue 6 types,sprinkles,shaws
KFT CUPS 3 CHEESE,kraft macaroni and cheese cups tripple cheese,mac and cheese cups,publix
SANTTITAS YEL CORN,santtitas yellow corn,yellow corn,publix
