receipt_name,full_product_title,general_product_title,store,database,no_brand_descriptor_title,no_descriptor_title
GV CHIPS,great value chips,chips,walmart,CHIPS,CHIPS,CHIPS
ROASTED ALMD,roasted almonds,almonds,walmart,ROASTED ALMONDS,ROASTED ALMONDS,ROASTED ALMONDS
MT DEW CD RE,mountain dew code red,soda,walmart,Mountain Dew Code Red Soda 12 Fluid Ounce Aluminum Can,Mountain Dew Code Red Soda 12 Fluid Ounce Aluminum Can,Mountain Dew Code Red Soda 12 Fluid Ounce Aluminum Can
ACTII BUTTER,act ii butter popcorn,popcorn,walmart,POPCORN,POPCORN,POPCORN
CHEESE NIPS,cheese nips,cheese nips,walmart,CHEESE NIPS SNACKS CRACKER,CHEESE NIPS SNACKS CRACKER,CHEESE NIPS SNACKS CRACKER
AW CREAM SDA,a&w cream soda,cream soda,walmart,CREAM SODA,CREAM SODA,CREAM SODA
CNM ALMOND,cinnamon almonds,cinnamon almonds,walmart,CINNAMON ALMONDS,CINNAMON ALMONDS,CINNAMON ALMONDS
RNCH CRACKER,ranch crackers,ranch crackers,walmart,CRACKERS,CRACKERS,CRACKERS
ROOT BEER,root beer,root beer,walmart,ROOT BEER,ROOT BEER,ROOT BEER
DR PEPPER,dr pepper,dr pepper,walmart,DR PEPPER,DR PEPPER,DR PEPPER
REESES PEAN,reeses peanut butter cups,peanut butter cups,walmart,"Candies, REESE'S Peanut Butter Cups",REESE'S Peanut Butter Cups,"Candies, REESE'S Peanut Butter Cups"
GARDETTOS,gardetts original recipe snack mix,snack mix,walmart,SNACK MIX,SNACK MIX,SNACK MIX
ASPARAGUS,asparagus,asparagus,walmart,ASPARAGUS,ASPARAGUS,ASPARAGUS
PASTA,pasta,pasta,walmart,PASTA,PASTA,PASTA
HONEY GLD POTATOES,potato inspirations honey gold potatoes,honey gold potatoes,publix,POTATOES,POTATOES,POTATOES
DE CECCO BOW FARFA,de cecco farfalle,farfalle,publix,FARFALLE,FARFALLE,FARFALLE
FRNDSHP SOUR CREAM,friendship sour cream,sour cream,publix,SOUR CREAM,SOUR CREAM,SOUR CREAM
ATHENOS TR/CR FETA,athenos traditional crumbled feta,cheese,publix,FETA CRUMBLED,FETA CRUMBLED,FETA CRUMBLED
HUNTS KETCHUP,hunts tomato ketchup,tomato ketchup,publix,HUNTS Tomato Ketchup,HUNTS Tomato Ketchup,HUNTS Tomato Ketchup
APPLES CRIPPS PINK,cripps pink apples,apples,publix,RAW CRIPPS PINK APPLE JUICE,RAW CRIPPS PINK APPLE JUICE,RAW CRIPPS PINK APPLE JUICE
SABRA CLAS HUM 6PK,sabra classic hummus 6 pack,hummus,publix,SABRA CLASSIC HUMMUS,SABRA CLASSIC HUMMUS,SABRA CLASSIC HUMMUS
EGG BREAD-CHALLAH,egg bread challah,challah,publix,PREMIUM EGG CHALLAH ROLLS,PREMIUM EGG CHALLAH ROLLS,PREMIUM EGG CHALLAH ROLLS
KELL APPLE JACKS,kelloggs apple jacks,apple jacks,publix,KELLOGGS APPLE JACKS CEREAL WITH APPLE & CINNANON,KELLOGGS APPLE JACKS CEREAL WITH APPLE & CINNANON,KELLOGGS APPLE JACKS CEREAL WITH APPLE & CINNANON
POST HONEY BUNCH,post honey bunches of oats,honey bunches of oats,publix,HONEY BUNCHES OF OATS CEREAL,HONEY BUNCHES OF OATS CEREAL,HONEY BUNCHES OF OATS CEREAL
OLD FASHIONED OATS,old fashioned oats,oats,aldi,OLD FASHIONED OATS,OLD FASHIONED OATS,OLD FASHIONED OATS
RASPBERRIES,raspberries,raspberries,aldi,RASPBERRIES,RASPBERRIES,RASPBERRIES
BLUEBERRIES,blueberries,blueberries,aldi,BLUEBERRIES,BLUEBERRIES,BLUEBERRIES
STRAWBERRIES,strawberries,strawberries,aldi,WHOLE STRAWBERRIES,WHOLE STRAWBERRIES,WHOLE STRAWBERRIES
AVOCADOS,avocados,avocados,aldi,Avocados raw all commercial varieties,Avocados raw all commercial varieties,Avocados raw all commercial varieties
CHIA SEEDS,chia seeds,chia seeds,aldi,CHIA SEEDS,CHIA SEEDS,CHIA SEEDS
DATES,dates,dates,aldi,DATES,DATES,DATES
BABY SPINACH 120G,baby spinach,baby spinach,aldi,BABY SPINACH,BABY SPINACH,BABY SPINACH
TORTILLA WRAPS WHOLEMEAL,wholemeal tortilla wraps,wholemeal tortilla wraps,aldi,WHOLE GRAIN TORTILLA WRAPS,WHOLE GRAIN TORTILLA WRAPS,WHOLE GRAIN TORTILLA WRAPS
BEETROOT SLICED 450G,sliced beetroot,beetroot,aldi,SLICED BEETROOT PICKLED IN SWEET MALT VINEGAR,SLICED BEETROOT PICKLED IN SWEET MALT VINEGAR,SLICED BEETROOT PICKLED IN SWEET MALT VINEGAR
FZN MIXED BERRIES 500G,frozen mixed berries,frozen mixed berries,aldi,MIXED BERRIES,MIXED BERRIES,MIXED BERRIES
HAM 4X100G,ham,ham,aldi,UNCURED HAM,UNCURED HAM,UNCURED HAM
FROZ STEAM VEG 450G,frozen steamed vegetables,frozen steamed vegetables,aldi,FRESH FROZEN VEGETABLES,FRESH FROZEN VEGETABLES,FRESH FROZEN VEGETABLES
RICE CRACKERS 200G,rice crackers,rice crackers,aldi,RICE CRACKERS,RICE CRACKERS,RICE CRACKERS
PINK LADY APPLES,pink lady apples,pink lady apples,aldi,PINK LADY APPLES,PINK LADY APPLES,PINK LADY APPLES
DIP SALSA,salsa dip,salsa,aldi,SALSA,SALSA,SALSA
MAYONNAISE SQUEEZE,mayonnaise,mayonnaise,aldi,SQUEEZE MAYONNAISE,SQUEEZE MAYONNAISE,SQUEEZE MAYONNAISE
WFM CLEMENTINE BAG,clementines,clementines,whole foods,Clementines raw,Clementines raw,Clementines raw
CROFT STRAWBRY SPR,crofts strawberry spread,strawberry jam,whole foods,STRAWBERRY SPREAD,STRAWBERRY SPREAD,STRAWBERRY SPREAD
BEANS GREEN,green beans,green beans,whole foods,WHOLE GREEN BEANS,WHOLE GREEN BEANS,WHOLE GREEN BEANS
VIRGL CREAM SODA,virgils cream soda,cream soda,whole foods,VIRGILS CREAM SODA,VIRGILS CREAM SODA,VIRGILS CREAM SODA
BULK ALMOND BUTTER,almond butter,almond butter,whole foods,ALMOND BUTTER,ALMOND BUTTER,ALMOND BUTTER
365 LT CHNK TUNA,365 light chunk tuna,tuna,whole foods,CHUNK LIGHT TUNA,CHUNK LIGHT TUNA,CHUNK LIGHT TUNA
BLACKBERRIES,blackberries,blackberries,whole foods,BLACKBERRIES,BLACKBERRIES,BLACKBERRIES
CHKN BRST CUTLET,chicken breast cutlet,chicken breast,whole foods,LIGHTLY BREADED CHICKEN BREAST CUTLETS,LIGHTLY BREADED CHICKEN BREAST CUTLETS,LIGHTLY BREADED CHICKEN BREAST CUTLETS
CHKN GRND THIGH,ground chicken thigh,ground chicken thigh,whole foods,CHICKEN THIGH MEAT,CHICKEN THIGH MEAT,CHICKEN THIGH MEAT
OREO COOKIE,oreos,oreos,target,OREO CHOCOLATE SANDWICH COOKIES,OREO CHOCOLATE SANDWICH COOKIES,OREO CHOCOLATE SANDWICH COOKIES
MP EGGS,marketplace eggs,eggs,target,EGGS,EGGS,EGGS
PUBLIX MED SALSA,publix medium salsa,medium salsa,publix,MEDIUM SALSA,MEDIUM SALSA,MEDIUM SALSA
SM RAISIN SEEDLESS,sun maid seedless raisins,seedless raisins,publix,SEEDLESS RAISINS,SEEDLESS RAISINS,SEEDLESS RAISINS
O R POPCORN,orville redenbacher popcorn,popcorn,publix,POPCORN,POPCORN,POPCORN
JIF PEANUT BUTTER,jif peanut butter,peanut butter,publix,PEANUT BUTTER,PEANUT BUTTER,PEANUT BUTTER
PUB DRY RST PNUT,publix dry roasted peanuts,dry roasted peanuts,publix,DRY ROASTED PEANUTS,DRY ROASTED PEANUTS,DRY ROASTED PEANUTS
L/L DBL CHOC CHIP,lenny & larrys double chocolate chip,double chocolate chip,publix,DOUBLE CHOCOLATE CHIP,DOUBLE CHOCOLATE CHIP,DOUBLE CHOCOLATE CHIP
L/L PB CHOC CHIP,lenny & larrys peanut butter chocolate chip,peanut butter chocolate chip,publix,PEANUT BUTTER CHOCOLATE CHIP,PEANUT BUTTER CHOCOLATE CHIP,PEANUT BUTTER CHOCOLATE CHIP
B/D WHL NAT ALMDS,blue diamond whole natural almonds,whole natural almonds,publix,BLUE DIAMOND ALMONDS WHOLE NATURAL,BLUE DIAMOND ALMONDS WHOLE NATURAL,BLUE DIAMOND ALMONDS WHOLE NATURAL
LIMES PERSIAN,persian limes,limes,publix,PERSIAN LIMES,PERSIAN LIMES,PERSIAN LIMES
NAPPA CABBAGE,nappa cabbage,nappa cabbage,hmart,NAPA CABBAGE,NAPA CABBAGE,NAPA CABBAGE
PAPAYA,papaya,papaya,hmart,Papayas raw,Papayas raw,Papayas raw
MATCHA KIT KAT,matcha kit kat,matcha kit kat,hmart,Candies KIT KAT Wafer Bar,Candies KIT KAT Wafer Bar,Candies KIT KAT Wafer Bar
PICKLD SOUR RADISH,pickled sour radish,pickled sour radish,hmart,Radishes hawaiian style pickled,Radishes hawaiian style pickled,Radishes hawaiian style pickled
CA NAVEL ORANGE,california navel orange,navel orange,hmart,CALIFORNIA NAVEL ORANGES,CALIFORNIA NAVEL ORANGES,CALIFORNIA NAVEL ORANGES
QUAK QUICK OATS,quaker quick oats,quick oats,publix,Cereals QUAKER Quick Oats Dry,Cereals QUAKER Quick Oats Dry,Cereals QUAKER Quick Oats Dry
PUBLIX HVY WHP CRM,publix heavy whipping cream,heavy whipping cream,publix,HEAVY WHIPPING CREAM,HEAVY WHIPPING CREAM,HEAVY WHIPPING CREAM
BNLS CHICK BREAST,boneless chicken breast,boneless chicken breast,publix,BONELESS CHICKEN BREAST,BONELESS CHICKEN BREAST,BONELESS CHICKEN BREAST
LAPASTA SQSH RAVLI,la pasta squash ravioli,squash ravioli,publix,BUTTERNUT SQUASH RAVIOLI,BUTTERNUT SQUASH RAVIOLI,BUTTERNUT SQUASH RAVIOLI
DIGORNO PIZZA,digorno pizza,pizza,kroger,DIGIORNO Pizza cheese topping rising crust frozen baked,DIGIORNO Pizza cheese topping rising crust frozen baked,DIGIORNO Pizza cheese topping rising crust frozen baked
WESSON OIL,wesson oil,oil,kroger,WESSON Vegetable Oil,WESSON Vegetable Oil,WESSON Vegetable Oil
KING ARTHUR FLOUR,king arthur flour,flour,kroger,UNBLEACHED ALL-PURPOSE FLOUR,UNBLEACHED ALL-PURPOSE FLOUR,UNBLEACHED ALL-PURPOSE FLOUR
FLA NATURAL JUICE,florida natural juice,juice,kroger,FLORIDAS NATURAL 100% PURE FLORIDA ORANGE JUICE,FLORIDAS NATURAL 100% PURE FLORIDA ORANGE JUICE,FLORIDAS NATURAL 100% PURE FLORIDA ORANGE JUICE
KRO VGTBL CKSPRY,kroger vegetable cooking spray,vegetable cooking spray,kroger,VEGETABLE OIL COOKING SPRAY,VEGETABLE OIL COOKING SPRAY,VEGETABLE OIL COOKING SPRAY
BARLLA MINI FARFLE,barilla mini farfalle,mini farfalle,kroger,MINI FARFALLE ENRICHED MACARONI PRODUCT,MINI FARFALLE ENRICHED MACARONI PRODUCT,MINI FARFALLE ENRICHED MACARONI PRODUCT
LANDOLAKES HVY CRM,land olakes heavy cream,heavy cream,kroger,LAND O LAKES RICH & CREAMY HEAVY WHIPPING CREAM,LAND O LAKES RICH & CREAMY HEAVY WHIPPING CREAM,LAND O LAKES RICH & CREAMY HEAVY WHIPPING CREAM
POTATOES RUSSET,russet potatoes,potatoes,kroger,RUSSET POTATOES,RUSSET POTATOES,RUSSET POTATOES
KRO MUSHROOMS,kroger mushrooms,mushrooms,kroger,MUSHROOMS,MUSHROOMS,MUSHROOMS
APPLES HONEYCRISP,honeycrisp apples,apples,kroger,HONEYCRISP APPLES,HONEYCRISP APPLES,HONEYCRISP APPLES
PLBRY CRSCNT ROLLS,pillsbury crescent rolls,crescent rolls,kroger,Pillsbury Original Crescent Rounds 8 Count,Pillsbury Original Crescent Rounds 8 Count,Pillsbury Original Crescent Rounds 8 Count
NTHN BF FRNK,nathan beef frank,beef frank,kroger,BEEF FRANKS,BEEF FRANKS,BEEF FRANKS
FAGE TOTAL YOGURT,fage total yogurt,yogurt,kroger,TOTAL GREEK STRAINED YOGURT,TOTAL GREEK STRAINED YOGURT,TOTAL GREEK STRAINED YOGURT
BOK CHOY ORG,bok choy organic,bok choy,kroger,BOK CHOY,BOK CHOY,BOK CHOY
CUCUMBERS,cucumbers,cucumbers,kroger,FRESH CUCUMBERS,FRESH CUCUMBERS,FRESH CUCUMBERS
KRO VAN EXTRCT,kroger vanilla extract,vanilla extract,kroger,PURE VANILLA EXTRACT,PURE VANILLA EXTRACT,PURE VANILLA EXTRACT
BRHD PRV CHS,boars head provolone cheese,cheese,kroger,BOARS HEAD PROVOLONE CHEESE,BOARS HEAD PROVOLONE CHEESE,BOARS HEAD PROVOLONE CHEESE
POST HB OAT CRL,post honey bunches of oats cereal,cereal,kroger,HONEY BUNCHES OF OATS,HONEY BUNCHES OF OATS,HONEY BUNCHES OF OATS
ODWL JUICE,odwalla juice,juice,kroger,ODWALLA 100% JUICE,ODWALLA 100% JUICE,ODWALLA 100% JUICE
PREGO PASTA SAUCE,prego pasta sauce,pasta sauce,kroger,PASTA SAUCE,PASTA SAUCE,PASTA SAUCE
TFYN PITA BR,toufayan pita bread,pita bread,kroger,CLASSIC WHITE PITA BREAD,CLASSIC WHITE PITA BREAD,CLASSIC WHITE PITA BREAD
LA BNDTA TORTILLA,la banderita tortilla,tortilla,kroger,TORTILLA,TORTILLA,TORTILLA
BRHD HNY HAM,boars head honey ham,honey ham,kroger,HONEY HAM,HONEY HAM,HONEY HAM
SALMON ATL FLT,atlantic salmon fillet,salmon,kroger,SALMON,SALMON,SALMON
ZUCCHINI,zucchini,zucchini,kroger,ZUCCHINI,ZUCCHINI,ZUCCHINI
TOMATOES RED OTV,red tomatoes on the vine,tomatoes,kroger,TOMATOES ON THE VINE,TOMATOES ON THE VINE,TOMATOES ON THE VINE
KROGER MILK,kroger milk,milk,kroger,MILK,MILK,MILK
RONZ LINGUINE,ronzoni linguine,linguine,kroger,LINGUINE,LINGUINE,LINGUINE
BROCCOLI CROWNS,broccoli crowns,broccoli crowns,kroger,BROCCOLI,BROCCOLI,BROCCOLI
APL GALA,gala apple,apple,kroger,GALA APPLES,GALA APPLES,GALA APPLES
DKB BAGELS CIN/RSN,daves killer bagels cinnamon/raisin,bagels,publix,RAISIN CINNAMON BAGELS,RAISIN CINNAMON BAGELS,RAISIN CINNAMON BAGELS
ORG APPLES HONEYCR,organic honeycrisp apples,apples,publix,HONEYCRISP APPLES,HONEYCRISP APPLES,HONEYCRISP APPLES
NASOYA CUBED TFU,nasoya cubed tofu,tofu,publix,TOFU,TOFU,TOFU
MAYFIELD SELECTS,mayfield selects,ice cream,publix,ICE CREAM,ICE CREAM,ICE CREAM
KBLR FUDGE STRIPES,keebler fudge stripes,cookies,publix,FUDGE STRIPES COOKIES,FUDGE STRIPES COOKIES,FUDGE STRIPES COOKIES
PUBLIX EGGS JUMBO,publix jumbo eggs,eggs,publix,EGGS,EGGS,EGGS
CHO PLAIN 5% 32OZ,chobani plain 5% 32 oz yogurt,yogurt,publix,GREEK YOGURT,GREEK YOGURT,GREEK YOGURT
PRINGLES,pringles,pringles,target,PRINGLES,PRINGLES,PRINGLES
SLIM JIM,slim jim,slim jim,target,SLIM JIM Original Smoked Snack Sticks,SLIM JIM Original Smoked Snack Sticks,SLIM JIM Original Smoked Snack Sticks
PLSBRY COOKI,pillsbury cookie,cookie,target,Pillsbury Chocolate Chip Cookie Dough,Pillsbury Chocolate Chip Cookie Dough,Pillsbury Chocolate Chip Cookie Dough
YOCRUNCH,yocrunch,yogurt,target,YOCRUNCH LOWFAT YOGURT VANILLA,YOCRUNCH LOWFAT YOGURT VANILLA,YOCRUNCH LOWFAT YOGURT VANILLA
V8,v8,v8,target,V8 BEVERAGE VEGETABLE,V8 BEVERAGE VEGETABLE,V8 BEVERAGE VEGETABLE
BANANA,banana,banana,target,BANANA,BANANA,BANANA
MP 2 PC MILK,market pantry 2% milk,milk,target,MILK,MILK,MILK
MARUCHN SOUP,maruchan soup,soup,target,RAMEN NOODLES,RAMEN NOODLES,RAMEN NOODLES
LEAN CUISINE,lean cuisine,lean cuisine,target,LEAN CUISINE CLASSIC MACARONI & BEEF,LEAN CUISINE CLASSIC MACARONI & BEEF,LEAN CUISINE CLASSIC MACARONI & BEEF
BROCCO CAUL,broccoli cauliflower,broccoli,target,BROCCOLI,BROCCOLI,BROCCOLI
STO BABY SPINACH,simple truth organic baby spinach,organic baby spinach,kroger,BABY SPINACH,BABY SPINACH,BABY SPINACH
CLEMNTNES,clementines,clementines,kroger,CLEMENTINE,CLEMENTINE,CLEMENTINE
BROCCOLI,broccoli,broccoli,kroger,BROCCOLI,BROCCOLI,BROCCOLI
TURKEY HLL ICE CRM,turkey hill ice cream,ice cream,kroger,ICE CREAM,ICE CREAM,ICE CREAM
AIDL SAUSAGE,aidell sausage,sausage,kroger,SAUSAGE,SAUSAGE,SAUSAGE
KROGER EGGS,kroger eggs,eggs,kroger,EGGS,EGGS,EGGS
PLANTAINS,plantains,plantains,kroger,"Plantains, yellow, raw",yellow,"Plantains, yellow"
BH MAPLE HONEY HAM,boars head maple honey ham,honey ham,publix,MAPLE HONEY HAM,MAPLE HONEY HAM,MAPLE HONEY HAM
GW EVRTHNG BGLS 4C,greenwise everything bagels 4c,everything bagels,publix,EVERYTHING BAGELS BAGELS,EVERYTHING BAGELS BAGELS,EVERYTHING BAGELS BAGELS
TROPICANA OJ,tropicana oj,oj,kroger,PURE 100% FLORIDA ORANGE JUICE,PURE 100% FLORIDA ORANGE JUICE,PURE 100% FLORIDA ORANGE JUICE
PFRM GOLDFISH,pepperidge farm goldfish,goldfish,kroger,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",Goldfish,"Pepperidge Farm, Baked Snack Crackers"
NTLA HZLNT SPREAD,nutella hazelnut spread,nutella,kroger,HAZELNUT SPREAD,HAZELNUT SPREAD,HAZELNUT SPREAD
CABBAGE NAPPA,nappa cabbage,nappa cabbage,kroger,NAPPA CABBAGE,NAPPA CABBAGE,NAPPA CABBAGE
BARLLA LINGUINE,barilla linguine,linguine,kroger,LINGUINE ENRICHED MACARONI PRODUCT,LINGUINE ENRICHED MACARONI PRODUCT,LINGUINE ENRICHED MACARONI PRODUCT
BELG MOZ BLS,belgioioso mozzarella balls,mozzarella balls,kroger,FRESH MOZZARELLA,FRESH MOZZARELLA,FRESH MOZZARELLA
PEPPERS BELL RED,red bell peppers,red bell peppers,kroger,"Peppers, sweet, red, raw",sweet,"Peppers, red"
PEACHES WHITE,white peaches,white peaches,kroger,PEACHES,PEACHES,PEACHES
POST HNY BNCH OAT,post honey bunches of oats,honey bunches of oats,kroger,HONEY BUNCHES OF OATS CEREAL,HONEY BUNCHES OF OATS CEREAL,HONEY BUNCHES OF OATS CEREAL
PHLLY CREAM CHEESE,philadelphia cream cheese,cream cheese,kroger,PHILADELPHIA CREAM CHEESE-SOFT PLAIN,PHILADELPHIA CREAM CHEESE-SOFT PLAIN,PHILADELPHIA CREAM CHEESE-SOFT PLAIN
PRDU CH THGH,purdue chicken thigh,chicken thigh,kroger,PERDUE CHICKEN THIGHS,PERDUE CHICKEN THIGHS,PERDUE CHICKEN THIGHS
STNFR GARLIC NAAN,stonefire garlic naan,garlic naan,kroger,GARLIC NAAN,GARLIC NAAN,GARLIC NAAN
KRO PNAPL CHNK JCE,kroger pineapple chunk juice,pineapple chunk juice,kroger,PINEAPPLE CHUNKS,PINEAPPLE CHUNKS,PINEAPPLE CHUNKS
MSSN TORTLLA,mission tortilla,tortilla,kroger,TORTILLA,TORTILLA,TORTILLA
PILLSBURY CRESCENT,pillsbury crescent,crescent,kroger,CRESCENT,CRESCENT,CRESCENT
O M FRANKS,oscar mayer franks,franks,kroger,FRANKS,FRANKS,FRANKS
LEMONS,lemons,lemons,kroger,LEMON,LEMON,LEMON
QUAKER OATMEAL,quaker oatmeal,oatmeal,kroger,"Cereals, QUAKER, Instant Oatmeal Organic, Regular",QUAKER,"Cereals, Instant Oatmeal Organic"
MANDARINS BAG,mandarins bag,mandarins,kroger,MANDARINS,MANDARINS,MANDARINS
PRSL COOKIE,private selection cookie,cookie,kroger,COOKIE,COOKIE,COOKIE
PRSL 12 GRAIN BRD,private selection 12 grain bread,12 grain bread,kroger,12 GRAIN BREAD,12 GRAIN BREAD,12 GRAIN BREAD
KRO LMN PEPPR,kroger lemon pepper,lemon pepper,kroger,"KROGER, LEMON PEPPER",LEMON PEPPER,"KROGER, LEMON PEPPER"
KRO TUNA,kroger tuna,tuna,kroger,TUNA,TUNA,TUNA
KRO VITAMIN D MILK,kroger vitamin d milk,milk,kroger,VITAMIN D MILK,VITAMIN D MILK,VITAMIN D MILK
KRO POTATO,kroger potato,potato,kroger,POTATOES,POTATOES,POTATOES
ONIONS SWT YELLOW,onions sweet yellow,onions,kroger,YELLOW ONIONS,YELLOW ONIONS,YELLOW ONIONS
APL GALA EAST XF,apples gala east,apples,kroger,GALA APPLES,GALA APPLES,GALA APPLES
KRO CAULIFLOWER FLPC,kroger cauliflower,cauliflower,kroger,CAULIFLOWER,CAULIFLOWER,CAULIFLOWER
KRO HONEY BEAR,kroger honey bear,honey,kroger,Honey,Honey,Honey
PEARLS,olives,olives,target,PEARLS,PEARLS,PEARLS
MP PASTA SCE,market pantry pasta sauce,pasta sauce,target,PASTA SAUCE,PASTA SAUCE,PASTA SAUCE
NEWYOR BREAD,newyork bread,garlic bread,target,"Garlic bread, frozen",frozen,"Garlic bread, frozen"
OS CRAN POM,ocean spray cranberry pomegranate juice,juice,walmart,"Pomegranate juice, bottled",bottled,"Pomegranate juice, bottled"
CAMPARI TOM,campari tomatoes,tomatoes,walmart,TOMATOES,TOMATOES,TOMATOES
HARD SALAMI,hard salami,salami,walmart,HARD SALAMI,HARD SALAMI,HARD SALAMI
APL GOLD DEL,golden delicious apples,apple,kroger,GOLDEN DELICIOUS APPLES,GOLDEN DELICIOUS APPLES,GOLDEN DELICIOUS APPLES
BREAD,bread,bread,walmart,BREAD,BREAD,BREAD
CIDER,cider,cider,walmart,CIDER,CIDER,CIDER
ORGANIC RND YELLOW TORT CHIPS,organic round yellow tortilla chips,tortilla chips,trader joes,ORGANIC TORTILLA CHIPS,ORGANIC TORTILLA CHIPS,ORGANIC TORTILLA CHIPS
ORGANIC SUGAR,organic sugar,sugar,trader joes,SUGAR,SUGAR,SUGAR
